shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10866849:1,35.26340866,-120.69828033,102,12678.66059824
10866849:1,35.26195908,-120.69657135,103,12902.39362199
10866849:1,35.26171875,-120.69628906,104,12939.42071245
10866849:1,35.26171875,-120.69628906,105,12939.42071245
10866849:1,35.26007843,-120.69432068,106,13194.77944047
10866849:1,35.26007843,-120.69432068,107,13194.77944047
10866849:1,35.25825882,-120.69214630,108,13477.47127446
10866849:1,35.25769043,-120.69165039,109,13555.07263620
10866849:1,35.25769043,-120.69165039,110,13555.07263620
10866849:1,35.25677109,-120.69090271,111,13677.78770634
10866849:1,35.25659180,-120.69082642,112,13698.89320343
10866849:1,35.25947189,-120.68405914,113,14391.79376812
10866849:1,35.25947189,-120.68405914,114,14391.79376812
10866849:1,35.26126099,-120.68005371,115,14806.32233438
10866849:1,35.26088715,-120.67961121,116,14864.13382233
10866849:1,35.26071930,-120.67916870,117,14908.43414407
10866849:1,35.26155090,-120.67820740,118,15035.59003229
10866849:1,35.26155090,-120.67820740,119,15035.59003229
10866849:1,35.26195908,-120.67774963,120,15097.13141150
10866849:1,35.26242828,-120.67839050,121,15175.28330077
10866849:1,35.26388931,-120.67646027,122,15414.25042025
10866849:1,35.26388931,-120.67646027,123,15414.25042025
10866849:1,35.26451111,-120.67559814,124,15518.68694053
10866849:1,35.26467896,-120.67548370,125,15540.04783404
10866849:1,35.26795959,-120.67092896,126,16091.47184187
10866849:1,35.26824951,-120.67040253,127,16149.12038348
10866849:1,35.26951981,-120.67030334,128,16290.65735919
10866849:1,35.26950836,-120.66871643,129,16434.73023482
10866849:1,35.26950836,-120.66871643,130,16434.73023482
10866849:1,35.26951981,-120.66815186,131,16486.00072593
10866849:1,35.26950836,-120.66480255,132,16790.06841401
10866849:1,35.26945877,-120.66468048,133,16802.44662809
10866849:1,35.26948166,-120.66200256,134,17045.57357491
10866849:1,35.26948166,-120.66200256,135,17045.57357491
10866849:1,35.26948166,-120.66076660,136,17157.77984784
10866849:1,35.26951981,-120.66058350,137,17174.93564799
10866849:1,35.26950836,-120.65901947,138,17316.93071275
10866849:1,35.26950836,-120.65901947,139,17316.93071275
10866849:1,35.26947021,-120.65814972,140,17396.00452702
10866849:1,35.26950073,-120.65695190,141,17504.80057201
10866849:1,35.26977921,-120.65646362,142,17558.87290268
10866849:1,35.27048874,-120.65630341,143,17639.09899696
10866849:1,35.27243042,-120.65615845,144,17855.40474030
10866849:1,35.27243042,-120.65615845,145,17855.40474030
10866849:1,35.27431870,-120.65614319,146,18065.37592587
10866849:1,35.27573013,-120.65644836,147,18224.74696627
10866849:1,35.27573013,-120.65644836,148,18224.74696627
10866849:1,35.27606964,-120.65651703,149,18263.00966260
10866849:1,35.27606964,-120.65624237,150,18287.94236206
10866849:1,35.27544022,-120.65561676,151,18378.07394291
10866849:1,35.27529907,-120.65563202,152,18393.82942446
10866849:1,35.27524948,-120.65551758,153,18405.59092397
10866849:1,35.27526093,-120.65545654,154,18411.27583242
10866849:1,35.27611900,-120.65488400,155,18519.92688754
10866849:1,35.27667999,-120.65470123,156,18584.47507665
10866849:1,35.27748108,-120.65540314,157,18693.99406390
10866849:1,35.27748108,-120.65540314,158,18693.99406390
10866849:1,35.27811813,-120.65599823,159,18783.07851529
10866849:1,35.27878952,-120.65659332,160,18875.22741113
10866849:1,35.27878952,-120.65659332,161,18875.22741113
10866849:1,35.28118896,-120.65873718,162,19205.46407155
